"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"controllo di gestione";"36,1";"22,3";"53,8";"36,3";"25,0";"*";"37,8";"*";"*";"47,3";"25,0";"*";"33,3";"45,9";"*";"*";"*";"60,0";"60,0";"*";"*";"57,1";"33,3";"35,4";"34,7";"24,2";"22,1";"23,3";"*"
"finanza";"36,8";"29,1";"46,2";"25,3";"-";"*";"20,0";"*";"*";"37,7";"-";"*";"66,7";"40,1";"*";"*";"*";"20,0";"40,0";"*";"*";"14,3";"50,0";"37,8";"73,9";"72,7";"17,6";"24,4";"*"
"legale";"9,3";"1,0";"7,7";"12,1";"-";"*";"13,3";"*";"*";"14,4";"-";"*";"16,7";"14,5";"*";"*";"*";"-";"20,0";"*";"*";"14,3";"-";"4,9";"8,0";"6,1";"3,1";"1,1";"*"
"logistica, distribuzione";"21,4";"14,6";"38,5";"12,1";"25,0";"*";"25,2";"*";"*";"30,1";"50,0";"*";"50,0";"29,3";"*";"*";"*";"-";"40,0";"*";"*";"28,6";"16,7";"17,1";"17,0";"15,2";"20,6";"18,9";"*"
"marketing, comunicazione, pubbliche relazioni";"45,7";"44,7";"38,5";"39,6";"50,0";"*";"68,1";"*";"*";"53,4";"-";"*";"50,0";"51,7";"*";"*";"*";"80,0";"60,0";"*";"*";"42,9";"16,7";"41,5";"27,3";"24,2";"50,4";"38,9";"*"
"organizzazione, pianificazione";"49,9";"50,5";"84,6";"45,1";"100,0";"*";"63,7";"*";"*";"55,5";"25,0";"*";"50,0";"52,1";"*";"*";"*";"60,0";"100,0";"*";"*";"57,1";"33,3";"52,4";"38,6";"27,3";"54,2";"34,4";"*"
"produzione";"15,2";"8,7";"23,1";"11,5";"25,0";"*";"20,7";"*";"*";"21,9";"25,0";"*";"50,0";"16,5";"*";"*";"*";"20,0";"60,0";"*";"*";"14,3";"16,7";"17,1";"12,5";"15,2";"10,7";"11,1";"*"
"ricerca e sviluppo";"23,3";"17,5";"15,4";"17,0";"25,0";"*";"26,7";"*";"*";"31,5";"25,0";"*";"16,7";"22,3";"*";"*";"*";"-";"80,0";"*";"*";"28,6";"16,7";"30,5";"21,0";"15,2";"16,0";"35,6";"*"
"risorse umane, selezione, formazione";"30,9";"19,4";"38,5";"30,2";"50,0";"*";"40,0";"*";"*";"43,2";"-";"*";"50,0";"40,1";"*";"*";"*";"40,0";"60,0";"*";"*";"57,1";"33,3";"34,1";"15,9";"3,0";"28,2";"18,9";"*"
"segreteria, affari generali";"17,4";"5,8";"23,1";"10,4";"75,0";"*";"31,9";"*";"*";"30,1";"25,0";"*";"16,7";"22,3";"*";"*";"*";"20,0";"-";"*";"*";"57,1";"16,7";"19,5";"10,2";"12,1";"9,9";"10,0";"*"
"sistemi informativi, EDP";"6,7";"3,9";"7,7";"3,8";"25,0";"*";"8,1";"*";"*";"9,6";"-";"*";"16,7";"7,0";"*";"*";"*";"20,0";"-";"*";"*";"-";"-";"3,7";"7,4";"9,1";"6,1";"8,9";"*"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisizione di professionalità";"73,0";"72,8";"92,3";"71,4";"75,0";"*";"79,3";"*";"*";"71,9";"75,0";"*";"83,3";"79,3";"*";"*";"*";"80,0";"80,0";"*";"*";"71,4";"66,7";"72,0";"73,9";"69,7";"58,8";"68,9";"*"
"possibilità di carriera";"69,3";"71,8";"76,9";"66,5";"50,0";"*";"72,6";"*";"*";"69,9";"50,0";"*";"66,7";"72,7";"*";"*";"*";"40,0";"60,0";"*";"*";"71,4";"50,0";"72,0";"73,3";"60,6";"71,0";"57,8";"*"
"possibilità di guadagno";"58,1";"57,3";"61,5";"50,0";"100,0";"*";"58,5";"*";"*";"61,6";"50,0";"*";"66,7";"62,0";"*";"*";"*";"60,0";"80,0";"*";"*";"71,4";"50,0";"52,4";"59,1";"48,5";"59,5";"62,2";"*"
"stabilità/sicurezza del posto di lavoro";"64,4";"47,6";"61,5";"65,9";"100,0";"*";"68,9";"*";"*";"75,3";"50,0";"*";"83,3";"73,1";"*";"*";"*";"80,0";"40,0";"*";"*";"85,7";"50,0";"61,0";"54,5";"72,7";"53,4";"62,2";"*"
"rispondenza a interessi culturali";"27,0";"38,8";"23,1";"17,6";"25,0";"*";"33,3";"*";"*";"28,8";"50,0";"*";"16,7";"23,1";"*";"*";"*";"-";"20,0";"*";"*";"28,6";"33,3";"35,4";"27,8";"24,2";"22,9";"30,0";"*"
"coerenza con gli studi";"33,3";"24,3";"30,8";"26,9";"50,0";"*";"33,3";"*";"*";"37,7";"25,0";"*";"33,3";"37,6";"*";"*";"*";"20,0";"40,0";"*";"*";"28,6";"33,3";"32,9";"36,9";"36,4";"22,1";"50,0";"*"
"utilità sociale del lavoro";"24,0";"21,4";"38,5";"21,4";"50,0";"*";"36,3";"*";"*";"28,8";"25,0";"*";"16,7";"19,8";"*";"*";"*";"-";"40,0";"*";"*";"42,9";"33,3";"31,7";"23,9";"24,2";"16,0";"18,9";"*"
"prestigio che ricevi dal lavoro";"31,7";"34,0";"23,1";"22,5";"75,0";"*";"40,7";"*";"*";"32,9";"25,0";"*";"50,0";"39,7";"*";"*";"*";"20,0";"40,0";"*";"*";"28,6";"66,7";"32,9";"30,1";"18,2";"25,2";"25,6";"*"
"coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"48,1";"53,4";"38,5";"44,0";"75,0";"*";"56,3";"*";"*";"47,3";"25,0";"*";"50,0";"52,1";"*";"*";"*";"40,0";"80,0";"*";"*";"42,9";"50,0";"51,2";"49,4";"24,2";"46,6";"35,6";"*"
"indipendenza o autonomia";"45,4";"44,7";"76,9";"45,1";"75,0";"*";"51,1";"*";"*";"50,0";"25,0";"*";"50,0";"47,9";"*";"*";"*";"40,0";"60,0";"*";"*";"71,4";"66,7";"47,6";"41,5";"33,3";"38,9";"34,4";"*"
"flessibilità dell’orario di lavoro";"25,7";"18,4";"30,8";"22,5";"50,0";"*";"35,6";"*";"*";"35,6";"25,0";"*";"33,3";"26,9";"*";"*";"*";"20,0";"60,0";"*";"*";"14,3";"50,0";"26,8";"18,2";"12,1";"26,0";"22,2";"*"
"rapporti con i colleghi sul luogo di lavoro";"48,8";"38,8";"46,2";"46,7";"75,0";"*";"55,6";"*";"*";"60,3";"25,0";"*";"33,3";"57,4";"*";"*";"*";"60,0";"60,0";"*";"*";"71,4";"66,7";"45,1";"44,9";"45,5";"42,7";"34,4";"*"
"luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"30,9";"26,2";"23,1";"25,8";"50,0";"*";"40,7";"*";"*";"39,7";"25,0";"*";"16,7";"37,2";"*";"*";"*";"40,0";"60,0";"*";"*";"42,9";"50,0";"26,8";"23,3";"21,2";"23,7";"28,9";"*"
"tempo libero";"25,0";"24,3";"38,5";"21,4";"50,0";"*";"34,1";"*";"*";"27,4";"25,0";"*";"16,7";"28,1";"*";"*";"*";"-";"40,0";"*";"*";"57,1";"50,0";"24,4";"17,6";"21,2";"22,9";"21,1";"*"
"opportunità di contatti con l'estero";"42,4";"67,0";"30,8";"39,6";"25,0";"*";"49,6";"*";"*";"30,1";"50,0";"*";"66,7";"34,3";"*";"*";"*";"20,0";"20,0";"*";"*";"-";"16,7";"46,3";"53,4";"33,3";"43,5";"41,1";"*"
"possibilità di utilizzare al meglio le competenze acquisite";"41,4";"35,0";"30,8";"35,2";"-";"*";"48,1";"*";"*";"41,1";"25,0";"*";"50,0";"46,3";"*";"*";"*";"20,0";"40,0";"*";"*";"42,9";"16,7";"43,9";"47,2";"45,5";"31,3";"48,9";"*"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"pubblico";"34,3";"22,3";"30,8";"22,5";"50,0";"*";"40,0";"*";"*";"45,2";"50,0";"*";"16,7";"40,1";"*";"*";"*";"40,0";"40,0";"*";"*";"71,4";"-";"42,7";"31,8";"51,5";"19,8";"44,4";"*"
"privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"62,1";"67,0";"53,8";"65,4";"-";"*";"56,3";"*";"*";"59,6";"75,0";"*";"83,3";"63,2";"*";"*";"*";"80,0";"40,0";"*";"*";"85,7";"33,3";"50,0";"67,6";"63,6";"69,5";"53,3";"*"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo pieno";"87,9";"91,3";"92,3";"86,8";"100,0";"*";"87,4";"*";"*";"89,7";"75,0";"*";"100,0";"89,7";"*";"*";"*";"80,0";"100,0";"*";"*";"85,7";"83,3";"85,4";"89,2";"90,9";"84,0";"86,7";"*"
"part-time";"37,7";"23,3";"23,1";"29,1";"25,0";"*";"47,4";"*";"*";"51,4";"50,0";"*";"33,3";"40,5";"*";"*";"*";"60,0";"20,0";"*";"*";"42,9";"-";"39,0";"38,6";"27,3";"35,1";"40,0";"*"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo indeterminato";"89,7";"83,5";"92,3";"92,3";"100,0";"*";"88,9";"*";"*";"92,5";"50,0";"*";"83,3";"94,2";"*";"*";"*";"100,0";"100,0";"*";"*";"100,0";"100,0";"82,9";"86,4";"100,0";"85,5";"88,9";"*"
"tempo determinato";"37,5";"37,9";"38,5";"29,7";"25,0";"*";"45,2";"*";"*";"39,0";"75,0";"*";"16,7";"40,9";"*";"*";"*";"20,0";"20,0";"*";"*";"28,6";"16,7";"40,2";"39,8";"51,5";"32,8";"32,2";"*"
"collaborazione (compreso lavoro a progetto)";"21,1";"27,2";"38,5";"13,7";"25,0";"*";"28,1";"*";"*";"24,0";"25,0";"*";"-";"18,6";"*";"*";"*";"-";"-";"*";"*";"14,3";"33,3";"22,0";"26,1";"12,1";"19,1";"20,0";"*"
"inserimento (ex formazione e lavoro)";"22,3";"22,3";"46,2";"14,8";"25,0";"*";"29,6";"*";"*";"28,1";"-";"*";"-";"21,9";"*";"*";"*";"20,0";"-";"*";"*";"-";"16,7";"29,3";"23,3";"21,2";"18,3";"21,1";"*"
"stage";"23,3";"33,0";"38,5";"20,9";"-";"*";"22,2";"*";"*";"21,9";"-";"*";"-";"19,4";"*";"*";"*";"-";"-";"*";"*";"14,3";"16,7";"28,0";"31,8";"18,2";"22,1";"22,2";"*"
"apprendistato";"19,4";"21,4";"38,5";"13,2";"-";"*";"20,0";"*";"*";"22,6";"-";"*";"-";"26,4";"*";"*";"*";"-";"-";"*";"*";"14,3";"16,7";"20,7";"20,5";"15,2";"15,3";"15,6";"*"
"lavoro interinale";"11,9";"15,5";"30,8";"6,6";"25,0";"*";"11,9";"*";"*";"12,3";"-";"*";"-";"14,0";"*";"*";"*";"-";"-";"*";"*";"-";"16,7";"14,6";"14,8";"9,1";"7,6";"13,3";"*"
"telelavoro";"6,7";"5,8";"7,7";"6,0";"-";"*";"8,1";"*";"*";"9,6";"-";"*";"-";"6,2";"*";"*";"*";"-";"-";"*";"*";"-";"16,7";"6,1";"8,0";"3,0";"5,3";"5,6";"*"
"autonomo/in conto proprio";"34,7";"41,7";"30,8";"36,8";"-";"*";"36,3";"*";"*";"39,7";"50,0";"*";"16,7";"28,9";"*";"*";"*";"40,0";"60,0";"*";"*";"57,1";"50,0";"30,5";"42,6";"21,2";"32,1";"24,4";"*"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"provincia di residenza";"72,4";"47,6";"69,2";"75,3";"100,0";"*";"63,0";"*";"*";"86,3";"75,0";"*";"66,7";"83,9";"*";"*";"*";"80,0";"80,0";"*";"*";"71,4";"83,3";"65,9";"65,9";"87,9";"70,2";"71,1";"*"
"provincia degli studi";"68,6";"52,4";"53,8";"73,6";"25,0";"*";"59,3";"*";"*";"73,3";"75,0";"*";"66,7";"68,6";"*";"*";"*";"60,0";"80,0";"*";"*";"100,0";"33,3";"78,0";"70,5";"78,8";"75,6";"70,0";"*"
"regione degli studi";"53,9";"43,7";"46,2";"56,6";"25,0";"*";"51,1";"*";"*";"51,4";"50,0";"*";"50,0";"55,4";"*";"*";"*";"40,0";"80,0";"*";"*";"57,1";"33,3";"59,8";"57,4";"60,6";"55,0";"58,9";"*"
"Italia settentrionale";"49,9";"55,3";"38,5";"52,7";"25,0";"*";"47,4";"*";"*";"46,6";"50,0";"*";"50,0";"43,8";"*";"*";"*";"40,0";"40,0";"*";"*";"14,3";"50,0";"51,2";"59,7";"45,5";"53,4";"52,2";"*"
"Italia centrale";"30,4";"32,0";"38,5";"26,4";"50,0";"*";"39,3";"*";"*";"31,5";"25,0";"*";"50,0";"23,6";"*";"*";"*";"40,0";"20,0";"*";"*";"28,6";"33,3";"37,8";"36,4";"45,5";"24,4";"24,4";"*"
"Italia meridionale";"16,5";"16,5";"23,1";"17,0";"50,0";"*";"23,7";"*";"*";"12,3";"25,0";"*";"16,7";"10,7";"*";"*";"*";"-";"20,0";"*";"*";"-";"16,7";"24,4";"22,2";"15,2";"13,7";"12,2";"*"
"Stato europeo";"50,3";"75,7";"53,8";"47,8";"25,0";"*";"54,1";"*";"*";"42,5";"75,0";"*";"66,7";"33,9";"*";"*";"*";"20,0";"40,0";"*";"*";"28,6";"16,7";"58,5";"64,8";"39,4";"55,0";"48,9";"*"
"Stato extraeuropeo";"39,4";"59,2";"38,5";"36,8";"50,0";"*";"45,2";"*";"*";"33,6";"75,0";"*";"66,7";"25,2";"*";"*";"*";"20,0";"40,0";"*";"*";"-";"16,7";"52,4";"50,6";"24,2";"42,0";"33,3";"*"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, anche con trasferimenti di residenza";"44,9";"61,2";"53,8";"39,0";"25,0";"*";"54,1";"*";"*";"34,9";"50,0";"*";"83,3";"33,9";"*";"*";"*";"20,0";"60,0";"*";"*";"14,3";"50,0";"48,8";"55,1";"45,5";"48,9";"44,4";"*"
"sì, anche frequenti (senza cambi di residenza)";"31,9";"28,2";"23,1";"38,5";"50,0";"*";"27,4";"*";"*";"28,1";"25,0";"*";"16,7";"37,2";"*";"*";"*";"40,0";"20,0";"*";"*";"42,9";"33,3";"29,3";"26,7";"30,3";"34,4";"33,3";"*"
"sì, ma solo in numero limitato";"19,2";"9,7";"23,1";"20,3";"25,0";"*";"15,6";"*";"*";"28,1";"25,0";"*";"-";"23,6";"*";"*";"*";"20,0";"20,0";"*";"*";"28,6";"16,7";"15,9";"14,8";"21,2";"14,5";"20,0";"*"
"non disponibili a trasferte";"2,9";"-";"-";"1,1";"-";"*";"2,2";"*";"*";"6,2";"-";"*";"-";"5,4";"*";"*";"*";"20,0";"-";"*";"*";"14,3";"-";"3,7";"1,1";"3,0";"0,8";"2,2";"*"
